suite,run_id_safe,bench,gc_flag,rep,wall_s,energy_total_j,energy_pkg_j,energy_dram_j,energy_pp0_j,energy_pp1_j,cpu_pct_avg,rss_mb_avg,throughput_iter_per_s,gc_pause_ms_avg
maven,maven_run_alloc10_1_ce2b78b6,run_alloc10,-XX:+UseSerialGC,1,10.9,212.262512,210.445984,0.0,0.908264,0.908264,,5680.422,0.091743,0.0
maven,maven_run_alloc10_2_e5c0756d,run_alloc10,-XX:+UseSerialGC,2,10.85,240.678711,240.678711,0.0,0.0,0.0,,7410.762,0.092166,0.0
maven,maven_run_alloc10_3_a791261f,run_alloc10,-XX:+UseSerialGC,3,10.79,242.429504,242.421326,0.0,0.004089,0.004089,,6449.438,0.092678,0.0
maven,maven_run_alloc10_4_1d9c2240,run_alloc10,-XX:+UseSerialGC,4,10.84,239.281738,239.281738,0.0,0.0,0.0,,6514.508,0.092251,0.0
maven,maven_run_alloc10_5_18ae2701,run_alloc10,-XX:+UseSerialGC,5,10.88,242.216553,242.211914,0.0,0.002319,0.002319,,6517.344,0.091912,0.0
maven,maven_run_alloc10_6_95ddd089,run_alloc10,-XX:+UseSerialGC,6,10.85,239.827942,239.827942,0.0,0.0,0.0,,6523.301,0.092166,0.0
maven,maven_run_alloc10_7_c755d586,run_alloc10,-XX:+UseSerialGC,7,10.83,242.259033,242.259033,0.0,0.0,0.0,,5882.77,0.092336,0.0
maven,maven_run_alloc10_8_8a417c49,run_alloc10,-XX:+UseSerialGC,8,10.88,242.360779,242.357239,0.0,0.00177,0.00177,,5890.523,0.091912,0.0
maven,maven_run_alloc10_9_3e66b1b1,run_alloc10,-XX:+UseSerialGC,9,10.8,318.510315,318.510315,0.0,0.0,0.0,,6526.09,0.092593,0.0
maven,maven_run_alloc10_10_4cac8d2b,run_alloc10,-XX:+UseSerialGC,10,10.84,249.762451,249.758911,0.0,0.00177,0.00177,,6513.598,0.092251,0.0
maven,maven_run_alloc10_1_60d29d53,run_alloc10,-XX:+UseParallelGC,1,10.88,224.793152,222.388733,0.0,1.202209,1.202209,,6442.117,0.091912,0.0
maven,maven_run_alloc10_2_02f7cd83,run_alloc10,-XX:+UseParallelGC,2,10.95,238.061096,238.061096,0.0,0.0,0.0,,7378.836,0.091324,0.0
maven,maven_run_alloc10_3_4ff800e0,run_alloc10,-XX:+UseParallelGC,3,10.84,241.229126,241.229126,0.0,0.0,0.0,,6544.441,0.092251,0.0
maven,maven_run_alloc10_4_9a851ba5,run_alloc10,-XX:+UseParallelGC,4,10.89,242.38269,242.38269,0.0,0.0,0.0,,6469.852,0.091827,0.0
maven,maven_run_alloc10_5_9e43b610,run_alloc10,-XX:+UseParallelGC,5,10.85,241.90448,241.897278,0.0,0.003601,0.003601,,6523.848,0.092166,0.0
maven,maven_run_alloc10_6_0666458b,run_alloc10,-XX:+UseParallelGC,6,10.9,241.857483,241.857483,0.0,0.0,0.0,,6794.719,0.091743,0.0
maven,maven_run_alloc10_7_4e7598c7,run_alloc10,-XX:+UseParallelGC,7,10.84,244.529968,244.510925,0.0,0.009521,0.009521,,6283.188,0.092251,0.0
maven,maven_run_alloc10_8_a86d0382,run_alloc10,-XX:+UseParallelGC,8,10.88,241.658386,241.658386,0.0,0.0,0.0,,6490.426,0.091912,0.0
maven,maven_run_alloc10_9_0ac0aae3,run_alloc10,-XX:+UseParallelGC,9,10.94,241.511169,241.511169,0.0,0.0,0.0,,6431.918,0.091408,0.0
maven,maven_run_alloc10_10_89b90665,run_alloc10,-XX:+UseParallelGC,10,10.89,242.248596,242.238342,0.0,0.005127,0.005127,,6527.773,0.091827,0.0
maven,maven_run_alloc10_1_26c911a2,run_alloc10,-XX:+UseG1GC,1,10.86,218.85437,218.847778,0.0,0.003296,0.003296,,6508.102,0.092081,0.0
maven,maven_run_alloc10_2_bb945f3a,run_alloc10,-XX:+UseG1GC,2,10.85,244.487427,244.48291,0.0,0.002258,0.002258,,6523.891,0.092166,0.0
maven,maven_run_alloc10_3_cf544986,run_alloc10,-XX:+UseG1GC,3,10.87,241.03418,241.03418,0.0,0.0,0.0,,6495.664,0.091996,0.0
maven,maven_run_alloc10_4_b25c146b,run_alloc10,-XX:+UseG1GC,4,10.87,239.669495,239.669495,0.0,0.0,0.0,,7251.293,0.091996,0.0
maven,maven_run_alloc10_5_88966f59,run_alloc10,-XX:+UseG1GC,5,10.79,241.694397,241.68573,0.0,0.004333,0.004333,,7022.035,0.092678,0.0
maven,maven_run_alloc10_6_2f367568,run_alloc10,-XX:+UseG1GC,6,10.83,240.891907,240.891907,0.0,0.0,0.0,,5815.297,0.092336,0.0
maven,maven_run_alloc10_7_e8685f43,run_alloc10,-XX:+UseG1GC,7,10.87,243.106567,243.101318,0.0,0.002625,0.002625,,6489.27,0.091996,0.0
maven,maven_run_alloc10_8_982f70e1,run_alloc10,-XX:+UseG1GC,8,10.81,240.33905,240.33905,0.0,0.0,0.0,,6473.016,0.092507,0.0
maven,maven_run_alloc10_9_7447db39,run_alloc10,-XX:+UseG1GC,9,10.92,245.265076,245.262634,0.0,0.001221,0.001221,,7299.887,0.091575,0.0
maven,maven_run_alloc10_10_eb645a64,run_alloc10,-XX:+UseG1GC,10,11.01,242.577393,242.577393,0.0,0.0,0.0,,7339.699,0.090827,0.0
maven,maven_run_alloc10_1_33175200,run_alloc10,-XX:+UseZGC,1,10.84,216.672302,216.670593,0.0,0.000854,0.000854,,6490.645,0.092251,0.0
maven,maven_run_alloc10_2_39f2c88b,run_alloc10,-XX:+UseZGC,2,10.87,234.797363,234.762451,0.0,0.017456,0.017456,,6515.988,0.091996,0.0
maven,maven_run_alloc10_3_c6650fab,run_alloc10,-XX:+UseZGC,3,10.87,241.631226,241.631226,0.0,0.0,0.0,,6529.82,0.091996,0.0
maven,maven_run_alloc10_4_66a316c3,run_alloc10,-XX:+UseZGC,4,10.85,240.177917,240.173279,0.0,0.002319,0.002319,,6542.363,0.092166,0.0
